PERIODO,COLE_BILINGUE,COLE_DEPTO_UBICACION,COLE_JORNADA,COLE_NATURALEZA,ESTU_GENERO,PUNT_INGLES,PUNT_MATEMATICAS,PUNT_SOCIALES_CIUDADANAS,PUNT_C_NATURALES,PUNT_LECTURA_CRITICA,PUNT_GLOBAL
20172,,BOGOTA,COMPLETA,NO OFICIAL,F,62.0,58.0,65.0,61.0,66.0,312.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,35.0,45.0,38.0,50.0,42.0,215.0
20172,N,BOGOTA,TARDE,OFICIAL,F,49.0,52.0,51.0,53.0,47.0,253.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,61.0,64.0,66.0,67.0,69.0,330.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,60.0,71.0,58.0,63.0,60.0,314.0
20172,,BOGOTA,SABATINA,NO OFICIAL,F,55.0,53.0,53.0,45.0,55.0,259.0
20172,N,BOGOTA,TARDE,OFICIAL,F,58.0,43.0,46.0,50.0,53.0,244.0
20172,N,BOGOTA,TARDE,OFICIAL,F,38.0,54.0,59.0,58.0,61.0,282.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,60.0,54.0,49.0,51.0,57.0,267.0
20172,N,BOGOTA,NOCHE,NO OFICIAL,F,48.0,43.0,54.0,54.0,52.0,253.0
20172,,BOGOTA,TARDE,OFICIAL,F,50.0,44.0,43.0,47.0,51.0,233.0
20172,N,BOGOTA,TARDE,OFICIAL,M,47.0,41.0,42.0,45.0,56.0,230.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,64.0,77.0,100.0,72.0,67.0,389.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,54.0,49.0,60.0,49.0,59.0,271.0
20172,N,BOGOTA,TARDE,OFICIAL,M,47.0,51.0,57.0,55.0,61.0,277.0
20172,N,BOGOTA,NOCHE,NO OFICIAL,F,34.0,43.0,55.0,49.0,54.0,245.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,80.0,67.0,65.0,72.0,68.0,345.0
20172,,BOGOTA,COMPLETA,NO OFICIAL,F,51.0,49.0,34.0,43.0,52.0,225.0
20172,N,BOGOTA,MAÑANA,NO OFICIAL,M,47.0,49.0,51.0,49.0,58.0,257.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,65.0,56.0,63.0,60.0,65.0,307.0
20172,N,BOGOTA,MAÑANA,NO OFICIAL,F,61.0,56.0,51.0,59.0,66.0,291.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,63.0,51.0,60.0,58.0,58.0,286.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,52.0,54.0,49.0,50.0,43.0,246.0
20172,N,BOGOTA,NOCHE,OFICIAL,M,43.0,42.0,46.0,38.0,44.0,213.0
